titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url;precio_m2;es_piso_alto;es_estudio;metros_por_habitacion;log_precio;penalizacion_sin_ascensor;score_calidad
Piso en Calle de Vélez Rubio, Apóstol Santiago, Madrid;Apóstol Santiago;1500;65;3;1;1;1;0;0;1;0;1;https://www.idealista.com/inmueble/110184811/;23.08;0;0;21.67;7.313220387090301;0;3
Ático en Glorieta de Quevedo, Arapiles, Madrid;Arapiles;4200;130;3;2;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/105935048/;32.31;1;0;43.33;8.34283980427146;0;4
Piso en Calle de Vallehermoso, 3, Arapiles, Madrid;Arapiles;1550;59;1;1;6;1;0;0;1;1;1;https://www.idealista.com/inmueble/92950409/;26.27;1;0;59.0;7.346010209913293;0;4
Piso en Calle Fernandez de los Rios, 30, Arapiles, Madrid;Arapiles;1360;59;2;1;3;1;0;0;0;1;0;https://www.idealista.com/inmueble/26757774/;23.05;1;0;29.5;7.215239978730097;0;2
Estudio en Calle de Bravo Murillo, 9, Arapiles, Madrid;Arapiles;975;35;0;1;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/103503015/;27.86;0;1;35.0;6.882437470997847;0;4
Piso en Arapiles, Madrid;Arapiles;1250;55;1;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/108878362/;22.73;0;0;55.0;7.1308988302963465;0;0
Piso en Arapiles, Madrid;Arapiles;1500;50;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110162364/;30.0;0;0;50.0;7.313220387090301;0;3
Piso en Calle de Donoso Cortés, 37, Arapiles, Madrid;Arapiles;1400;53;2;1;5;0;0;0;0;0;0;https://www.idealista.com/inmueble/95466799/;26.42;1;0;26.5;7.24422751560335;1;0
Piso en Arapiles, Madrid;Arapiles;2000;73;2;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/110180592/;27.4;1;0;36.5;7.600902459542082;1;0
Ático en Calle de Galileo, Arapiles, Madrid;Arapiles;1799;55;1;1;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/104476230/;32.71;1;0;55.0;7.4949862339505335;0;4
Piso en Rodríguez San Pedro, 5, Arapiles, Madrid;Arapiles;2500;141;3;2;6;1;0;0;1;0;0;https://www.idealista.com/inmueble/37616773/;17.73;1;0;47.0;7.824046010856292;0;2
Piso en Plaza del Conde del Valle de Súchil, 9, Arapiles, Madrid;Arapiles;2400;125;3;2;6;1;0;0;1;0;0;https://www.idealista.com/inmueble/109394027/;19.2;1;0;41.67;7.783224016336037;0;2
Piso en Calle de Blasco de Garay, Arapiles, Madrid;Arapiles;1950;65;2;1;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/84035434/;30.0;1;0;32.5;7.575584651557793;0;4
Piso en Calle de Galileo, Arapiles, Madrid;Arapiles;3495;123;2;2;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/103607445/;28.41;0;0;61.5;8.15908865466791;0;3
Piso en Calle de Vallehermoso, 69, Arapiles, Madrid;Arapiles;3500;100;5;2;-1;1;0;0;0;1;0;https://www.idealista.com/inmueble/110009296/;35.0;0;0;20.0;8.160518247477505;0;2
Piso en Calle de Fernández de los Ríos, Arapiles, Madrid;Arapiles;1100;44;2;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/110100415/;25.0;1;0;22.0;7.003065458786462;1;0
Piso en Calle de Bravo Murillo, Arapiles, Madrid;Arapiles;3970;150;3;2;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/94874293/;26.47;1;0;50.0;8.286521373681236;0;3
Piso en Calle de Vallehermoso, Arapiles, Madrid;Arapiles;2400;80;2;2;5;1;0;0;1;1;1;https://www.idealista.com/inmueble/110094203/;30.0;1;0;40.0;7.783224016336037;0;4
Piso en Calle de Galileo, Arapiles, Madrid;Arapiles;2000;73;2;2;4;1;0;1;1;1;0;https://www.idealista.com/inmueble/106483190/;27.4;1;0;36.5;7.600902459542082;0;4
Piso en Calle de Fernando Garrido, Arapiles, Madrid;Arapiles;1300;45;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/109409139/;28.89;0;0;45.0;7.170119543449628;0;0
Piso en Aravaca, Madrid;Aravaca;1300;85;1;1;0;1;0;1;0;1;0;https://www.idealista.com/inmueble/103583771/;15.29;0;0;85.0;7.170119543449628;0;3
Piso en Calle Pérez de Victoria, Aravaca, Madrid;Aravaca;1700;75;2;1;1;1;1;1;1;1;0;https://www.idealista.com/inmueble/110184267/;22.67;0;0;37.5;7.438383530044307;0;5
Piso en Calle de Fernando Vizcaíno Casas, Aravaca, Madrid;Aravaca;3400;173;4;3;1;1;1;1;1;0;0;https://www.idealista.com/inmueble/109998857/;19.65;0;0;43.25;8.131530710604252;0;4
Piso en Calle del Tutor, Argüelles, Madrid;Argüelles;2000;59;2;2;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/110207988/;33.9;0;0;29.5;7.600902459542082;0;4
Piso en Paseo del Pintor Rosales, Argüelles, Madrid;Argüelles;3500;101;2;2;13;1;0;1;1;1;1;https://www.idealista.com/inmueble/110207632/;34.65;1;0;50.5;8.160518247477505;0;5
Piso en Calle del Tutor, 40, Argüelles, Madrid;Argüelles;2200;90;2;2;2;1;0;0;0;1;0;https://www.idealista.com/inmueble/106761051/;24.44;0;0;45.0;7.696212639346407;0;2
Piso en Calle del Tutor, Argüelles, Madrid;Argüelles;2040;57;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/102957583/;35.79;0;0;57.0;7.620705086838262;0;3
Ático en Calle de Martín de los Heros, 82, Argüelles, Madrid;Argüelles;1650;45;2;1;6;1;0;1;0;1;1;https://www.idealista.com/inmueble/107128307/;36.67;1;0;22.5;7.408530566894626;0;4
