titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url
Ático en Calle Casimiro Mahou Bierhans, 27, Imperial, Madrid;Imperial;1600;75;1;1;7;1;1;1;1;0;1;https://www.idealista.com/inmueble/108698636/
Piso en Calle de López de Hoyos, 178, Prosperidad, Madrid;Prosperidad;2378;70;2;2;1;1;0;0;1;1;1;https://www.idealista.com/inmueble/110206673/
Estudio en Calle de Cavanilles, 58, Pacífico, Madrid;Pacífico;1386;20;0;1;1;1;1;0;1;1;0;https://www.idealista.com/inmueble/109329801/
Piso en Avenida del General Perón, 32, Cuatro Caminos, Madrid;Cuatro Caminos;1750;60;2;1;15;1;0;1;1;1;0;https://www.idealista.com/inmueble/93282486/
Piso en Calle de Lope de Rueda, Goya, Madrid;Goya;2860;50;2;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/100687268/
Piso en Calle de Vallehermoso, 3, Arapiles, Madrid;Arapiles;1550;59;1;1;6;1;0;0;1;1;1;https://www.idealista.com/inmueble/92950409/
Piso en Nueva España, Madrid;Nueva España;5300;244;4;3;1;1;1;1;1;0;1;https://www.idealista.com/inmueble/102993678/
Piso en Calle de Francisco Silvela, 60, Guindalera, Madrid;Guindalera;1650;65;2;1;2;1;0;0;1;0;1;https://www.idealista.com/inmueble/29214525/
Piso en Calle de Isabel la Católica, Palacio, Madrid;Palacio;2540;79;2;2;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/98217795/
Piso en Avenida General, 33, Casco Histórico de Barajas, Madrid;Barajas;1100;55;1;1;1;1;0;0;0;0;0;https://www.idealista.com/inmueble/108944539/
Piso en Calle de Yerma, 10, Costillares, Madrid;Otros Madrid;1850;98;2;2;8;1;1;0;1;0;0;https://www.idealista.com/inmueble/109558303/
Ático en Calle de Martín de los Heros, 82, Argüelles, Madrid;Argüelles;1650;45;2;1;6;1;0;1;0;1;1;https://www.idealista.com/inmueble/107128307/
Piso en Calle del General Pardiñas, Goya, Madrid;Goya;3500;110;3;2;4;1;0;1;0;1;0;https://www.idealista.com/inmueble/109707603/
Piso en Calle de José Antonio Rebolledo y Palma, 23, Ensanche de Vallecas - La Gavia, Madrid;Otros Madrid;1450;31;1;1;4;1;1;0;0;1;0;https://www.idealista.com/inmueble/110206729/
Piso en Calle del General Díaz Porlier, Lista, Madrid;Lista;1550;70;1;1;0;1;0;1;1;1;0;https://www.idealista.com/inmueble/108962464/
Estudio en Calle de la Pintora Ángeles Santos, 4, San Diego, Madrid;Otros Madrid;730;32;0;1;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/97392615/
Piso en Calle del Príncipe, Huertas-Cortes, Madrid;Cortes;2720;81;2;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/96545117/
Piso en Calle de Zabaleta, 45, Prosperidad, Madrid;Prosperidad;1800;64;2;2;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/110206516/
Piso en Bernabéu-Hispanoamérica, Madrid;Hispanoamérica;4300;183;4;2;1;1;1;1;1;1;1;https://www.idealista.com/inmueble/106980722/
Piso en Calle de Méjico, 24, Guindalera, Madrid;Guindalera;1250;45;1;1;2;1;0;1;1;1;0;https://www.idealista.com/inmueble/100925465/
Piso en Calle de José Ortega y Gasset, Lista, Madrid;Lista;2370;53;2;1;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/109220106/
Piso en Calle del Espíritu Santo, 47, Malasaña-Universidad, Madrid;Malasaña;1960;100;3;2;2;1;0;0;1;0;1;https://www.idealista.com/inmueble/110206610/
Piso en Calle de María de Guzmán, Nuevos Ministerios-Ríos Rosas, Madrid;Ríos Rosas;3500;102;3;4;6;1;0;0;1;1;0;https://www.idealista.com/inmueble/106248841/
Piso en Paseo del General Martínez Campos, 32, Almagro, Madrid;Almagro;1800;57;1;1;1;1;1;1;1;1;1;https://www.idealista.com/inmueble/110206628/
Piso en Calle de Juan Álvarez Mendizábal, Argüelles, Madrid;Argüelles;1620;48;1;1;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/98346605/
Piso en Ronda de Segovia, 15, Palacio, Madrid;Palacio;2400;63;2;2;3;1;1;0;1;1;1;https://www.idealista.com/inmueble/110206524/
Piso en Calle del Mesón de Paredes, Lavapiés-Embajadores, Madrid;Lavapiés;1400;33;1;1;2;1;0;1;1;1;1;https://www.idealista.com/inmueble/110114097/
Piso en Calle de los Cabestreros, Lavapiés-Embajadores, Madrid;Lavapiés;1800;60;2;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110206422/
Piso en Calle de Lavapiés, 55, Lavapiés-Embajadores, Madrid;Lavapiés;2200;82;2;2;4;1;0;0;1;1;1;https://www.idealista.com/inmueble/110039607/
Piso en Calle de Goya, Recoletos, Madrid;Recoletos;1250;30;1;1;6;1;0;0;1;0;1;https://www.idealista.com/inmueble/110206465/
Piso en Calle de O'Donnell, Goya, Madrid;Goya;3000;180;5;3;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/104805147/
Piso en Calle de Núñez de Balboa, Recoletos, Madrid;Recoletos;1450;52;1;1;5;1;0;0;1;0;0;https://www.idealista.com/inmueble/110206487/
Piso en Gran Vía, Malasaña-Universidad, Madrid;Malasaña;3500;122;2;2;5;1;1;1;1;1;0;https://www.idealista.com/inmueble/109773222/
Piso en Calle de Doña Urraca, Puerta del Ángel, Madrid;Puerta del Ángel;1350;50;1;1;1;1;0;0;0;1;0;https://www.idealista.com/inmueble/109527310/
Piso en Gran Vía, Malasaña-Universidad, Madrid;Malasaña;3500;122;2;2;5;1;1;1;1;1;0;https://www.idealista.com/inmueble/109773222/
Piso en América, Guindalera, Madrid;Guindalera;1550;65;2;1;3;1;0;1;0;1;0;https://www.idealista.com/inmueble/110206476/
Piso en Calle de Fernando VI, Chueca-Justicia, Madrid;Justicia;1900;70;2;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/109855184/
Piso en Calle Góndola, 11, Alameda de Osuna, Madrid;Otros Madrid;2100;145;3;2;2;1;1;1;0;0;0;https://www.idealista.com/inmueble/110206429/
Piso en Calle del Príncipe de Vergara, Bernabéu-Hispanoamérica, Madrid;Hispanoamérica;1920;60;2;2;6;1;0;0;1;1;0;https://www.idealista.com/inmueble/105991096/
Piso en Calle de la maquinilla, 13, Palomeras sureste, Madrid;Otros Madrid;1420;97;2;2;6;1;1;1;0;0;0;https://www.idealista.com/inmueble/33383289/
Piso en Calle del Jardín de San Federico, 5, Goya, Madrid;Goya;3400;147;3;3;1;1;0;1;1;1;1;https://www.idealista.com/inmueble/110124891/
Estudio en Glorieta del General Álvarez de Castro, 5 ,piso 4, Trafalgar, Madrid;Trafalgar;760;25;0;1;4;1;0;0;1;0;1;https://www.idealista.com/inmueble/40304977/
Piso en Calle de Hernán Cortés, Chueca-Justicia, Madrid;Justicia;2400;68;1;1;3;1;1;1;1;1;1;https://www.idealista.com/inmueble/106016944/
Piso en Calle de Fortuny, Almagro, Madrid;Almagro;2395;97;1;2;5;1;0;0;1;1;0;https://www.idealista.com/inmueble/110206254/
Piso en Calle reina, Chueca-Justicia, Madrid;Justicia;2380;56;1;1;1;1;1;0;1;1;1;https://www.idealista.com/inmueble/103796669/
Piso en Calle de Jorge Juan, Recoletos, Madrid;Recoletos;3000;119;2;2;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110206261/
Piso en Calle de Viriato, Trafalgar, Madrid;Trafalgar;1695;55;1;1;1;1;0;1;0;1;1;https://www.idealista.com/inmueble/106848291/
Piso en Calle de Hermosilla, Goya, Madrid;Goya;3900;4250;2;2;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/110206295/
Piso en Calle del Conde de Aranda, Recoletos, Madrid;Recoletos;2400;57;1;1;4;1;0;0;1;1;1;https://www.idealista.com/inmueble/109060400/
Piso en Paseo del Marqués de Zafra, 48, Fuente del Berro, Madrid;Fuente del Berro;1650;96;2;2;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/105342492/
Piso en Calle del Conde de Aranda, Recoletos, Madrid;Recoletos;2200;80;1;1;5;1;0;1;1;1;1;https://www.idealista.com/inmueble/110160418/
Piso en Calle Pinos Alta, 31, Ventilla-Almenara, Madrid;Almenara;1150;55;1;1;1;1;0;0;0;1;0;https://www.idealista.com/inmueble/108506768/
Piso en Calle de Atocha, Huertas-Cortes, Madrid;Cortes;2145;65;1;1;3;1;0;0;1;1;1;https://www.idealista.com/inmueble/108593634/
Piso en Calle de Lope de Haro, 20, Berruguete, Madrid;Berruguete;900;34;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/110206166/
Piso en Calle de Núñez de Balboa, 115, Castellana, Madrid;Castellana;1150;62;1;1;6;1;0;0;1;1;0;https://www.idealista.com/inmueble/86225777/
Piso en Calle de Enrique Larreta, 12, Castilla, Madrid;Castilla;1600;65;2;2;1;1;0;0;1;0;1;https://www.idealista.com/inmueble/97291835/
